,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
172,Mohawk and Herkimer Villages in New York,"Mohawk, New York",3/13/2013,,Open+Close,random,psycho,5,2,6,0,64,0,,No,White American or European American,Male,43.0104011,-75.0075119
173,"Ladera Ranch, Santa Ana, Tustin and Orange","Ladera Ranch, California",2/19/2013,,Open+Close,random,psycho,4,3,6,0,20,0,,Yes,White American or European American,Male,33.54961059,-117.6415707
174,Los Angeles Police Department,"Irvine, California",2/3/2013,,Open+Close,Coworker's Family,anger,4,2,7,1,33,,,Yes,Black American or African American,Male,33.67803464,-117.773628
175,Phoenix Law Firm,"Phoenix, Arizona",1/30/2013,Entrance of building,Open,random,psycho,3,1,3,0,70,,,Unknown,White American or European American,Male,33.57145875,-112.0904854
176,South Valley Residence,"South Valley, Albuquerque, New Mexico",1/19/2013,Home,Close,Family,psycho,5,0,5,0,15,,,Yes,Some other race,Male,35.15290522,-106.7791378
177,Sandy Hook Elementary School,"Newtown, Connecticut",12/16/2012,adjusted from 12/14,Open+Close,Family+students,terrorism,28,2,29,0,20,,,Yes,White American or European American,Male,41.41190846,-73.31196267
178,Clackamas Town Center,"Happy Valley, Oregon",12/11/2012,Shopping Mall,Close,random,terrorism,3,1,3,0,22,0,,No,Some other race,Male,45.44853107,-122.5440133
179,Azana Spa in Brookfield,"Brookfield, Wisconsin",10/21/2012,Azana Spa in Brookfield,Close,Ex-Wife,psycho,4,4,7,0,45,,,No,Black American or African American,Male,43.06396691,-88.12299758
180,The Spot Nightclub,"Miami, Florida",9/28/2012,Club,Close,random,terrorism,0,15,15,0,,,,Unknown,Black American or African American,Male,25.79653943,-80.20840397
181,Accent Signage Systems in Minneapolis,"Minneapolis, Minnesota",9/27/2012,Accent Signage Systems Building,Close,Ex-Coworkers,unemployement,7,2,8,0,36,0,,Yes,White American or European American,Male,44.96358722,-93.26783687
182,Sikh Temple in Wisconsin,"Oak Creek, Wisconsin",8/5/2012,Sikh Temple,Close,Sikhs,racism,7,4,10,0,40,1,Army veteran,No,White American or European American,Male,42.88027442,-87.90087079
183,Aurora theater shooting,"Aurora, Colorado",7/23/2012,Movie Theatre changed from 7/21,Close,random,terrorism,12,70,82,0,24,,,Yes,white,Male,39.709283,-104.823488
184,University Heights Apartments in Auburn,"Auburn, Alabama",6/9/2012,Apartment Complex,Close,Students,terrorism,3,3,6,0,22,,,Unknown,Black American or African American,Male,32.60598014,-85.48989253
185,Cafe in Seattle,"Seattle, Washington",5/30/2012,,Open+Close,random,psycho,6,1,6,0,40,,,Yes,White American or European American,Male,47.62199575,-122.323646
186,Seattle cafe shooting,"Seattle, Washington",5/20/2012,,Open+Close,random,psycho,6,1,7,0,40,,,Yes,white,Male,47.6038321,-122.3300624
187,"North Tulsa, Oklahoma","Tulsa, Oklahoma",4/6/2012,"Tulsa, Oklahoma",,black men,racism,3,2,5,0,"19,32",,,No,White American or European American,Male,36.13543238,-95.91316117
188,Oikos University killings,"Oakland, California",4/2/2012,Nursing Classroom,Close,random,terrorism,7,3,10,0,43,,,Yes,Asian,Male,37.8043808,-122.2708166
189,Chardon High School,"Chardon, Ohio",2/27/2012,Chardon High Scool,Close,Students,terrorism,3,3,6,0,17,,,Yes,White American or European American,Male,41.58025541,-81.20812625
190,Su Jung Health Sauna shooting,"Norcross, Georgia",2/22/2012,Spa,Close,Family,anger,5,0,5,0,59,,,Yes,Asian,Male,33.9412127,-84.2135309
191,Ensley Birmingham,"Birmingham, Alabama",1/29/2012,Home,Close,random,terrorism,5,0,5,0,,,,No,Black American or African American,Male,33.5282865,-86.79550448
192,Salon Meritage,"Seal Beach, California",10/12/2011,Hair Salon,Open+Close,Ex-Wife,anger,8,1,9,0,41,,,Yes,White American or European American,Male,33.75432632,-118.0715378
193,IHOP shooting,"Carson City, Nevada",9/6/2011,International House of Pancakes Restaurant,Close,random,terrorism,5,7,12,0,32,,,Yes,Latino,Male,39.1637984,-119.7674034
194,Residences in Grand Rapids,"Grand Rapids, Michigan",7/7/2011,,Open+Close,Ex-Wife & Family,psycho,8,2,9,0,34,,,Yes,Black American or African American,Male,42.96920434,-85.66008902
195,Southern Union State Community College,"Opelika, Alabama",4/6/2011,Opelika campus of Southern Union State Community College in Alabama,Open,Ex-Wife & Family,anger,1,3,4,0,34,,,Yes,White American or European American,Male,32.66240106,-85.37706931
196,Youngstown State University,"Youngstown, Ohio",2/6/2011,fraternity house party,Close,random,anger,1,11,12,0,"19,22",,,Unknown,Black American or African American,Male,41.09933958,-80.64631705
197,Tucson shooting,"Tucson, Arizona",1/8/2011,,Open,Congresswoman,terrorism,6,13,19,0,22,,,Yes,white,Male,32.2217429,-110.926479
198,Hartford Beer Distributor shooting,"Manchester, Connecticut",8/3/2010,Workplace,Close,,frustration,9,2,11,0,34,,,No,black,Male,41.7759324,-72.5214755
199,University of Alabama in Huntsville,"Huntsville, Alabama",2/12/2010,University of Alabama,Close,Coworkers,psycho,0,3,6,0,44,1,University of Alabama,No,White American or European American,Female,34.72827538,-86.6723055
200,Coffee shop police killings,"Parkland, Washington",11/29/2009,Coffee Shop,Close,Policeman,revenge,4,1,5,4,37,,,Yes,black,Male,47.155846,-122.437031
201,Parkland Coffee Shop,"Lakewood, Washington",11/29/2009,Coffee Shop,Close,Policeman,revenge,5,0,4,4,37,,,Yes,Black American or African American,Male,47.16267579,-122.5296574
202,Fort Hood Army Base,"Fort Hood, Texas",11/5/2009,Fort Hood Army Post,Close,random,terrorism,13,32,45,0,39,1,U.S Army,Yes,White American or European American,Male,31.13814354,-97.77797804
203,Binghamton shootings,"Binghamton, New York",4/6/2009,American Civic Association Centre (changed from 4/3),Close,random,terrorism,14,4,18,0,41,,,Yes,Asian,Male,42.0986867,-75.9179738
204,Carthage nursing home shooting,"Carthage, North Carolina",3/29/2009,Nursing Home,Close,Ex-Wife,psycho,8,3,11,0,45,,,Yes,white,Male,35.345802,-79.4170543
205,"Rivermark, Santa Clara, California","Santa Clara, California",3/29/2009,Home,Close,Family,psycho,6,1,6,0,42,1,Yahoo,No,Asian American,Male,37.36463172,-121.9679315
